"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Full-Body","16 Jul 2025, 13:57","16 Jul 2025, 15:45","","Chin Up (Weighted)",,"",0,"normal",20,6,,,
"Full-Body","16 Jul 2025, 13:57","16 Jul 2025, 15:45","","Chin Up (Weighted)",,"",1,"normal",10,6,,,
"Full-Body","16 Jul 2025, 13:57","16 Jul 2025, 15:45","","Chin Up (Weighted)",,"",2,"normal",,7,,,
"Full-Body","16 Jul 2025, 13:57","16 Jul 2025, 15:45","","Bench Press (Barbell)",,"",0,"normal",90,5,,,
"Full-Body","16 Jul 2025, 13:57","16 Jul 2025, 15:45","","Bench Press (Barbell)",,"",1,"normal",80,7,,,
"Full-Body","16 Jul 2025, 13:57","16 Jul 2025, 15:45","","Incline Chest Fly (Dumbbell)",,"",0,"normal",14,13,,,
"Full-Body","16 Jul 2025, 13:57","16 Jul 2025, 15:45","","Bulgarian Split Squat",,"",0,"normal",16,12,,,
"Full-Body","16 Jul 2025, 13:57","16 Jul 2025, 15:45","","Seated Lateral Raise (Dumbbell)",,"",0,"normal",8,20,,,
"Full-Body","16 Jul 2025, 13:57","16 Jul 2025, 15:45","","Seated Lateral Raise (Dumbbell)",,"",1,"normal",8,20,,,
"Full-Body","16 Jul 2025, 13:57","16 Jul 2025, 15:45","","EZ Bar Biceps Curl",,"",0,"normal",30,15,,,
"Full-Body","16 Jul 2025, 13:57","16 Jul 2025, 15:45","","EZ Bar Biceps Curl",,"",1,"normal",30,10,,,
"Full-Body","16 Jul 2025, 13:57","16 Jul 2025, 15:45","","Seated Dip Machine",,"",0,"normal",25,15,,,
"Full-Body","16 Jul 2025, 13:57","16 Jul 2025, 15:45","","Seated Dip Machine",,"",1,"failure",25,20,,,
"Full-Body","16 Jul 2025, 13:57","16 Jul 2025, 15:45","","Cable Crunch",,"",0,"failure",36,11,,,
"Full-Body","16 Jul 2025, 13:57","16 Jul 2025, 15:45","","Cable Crunch",,"",1,"failure",32,11,,,
"Lower","14 Jul 2025, 13:31","14 Jul 2025, 15:13","","Seated Leg Curl (Machine)",,"",0,"normal",52,12,,,
"Lower","14 Jul 2025, 13:31","14 Jul 2025, 15:13","","Seated Leg Curl (Machine)",,"",1,"normal",52,10,,,
"Lower","14 Jul 2025, 13:31","14 Jul 2025, 15:13","","Squat (Barbell)",,"",0,"normal",110,6,,,
"Lower","14 Jul 2025, 13:31","14 Jul 2025, 15:13","","Squat (Barbell)",,"",1,"normal",100,9,,,
"Lower","14 Jul 2025, 13:31","14 Jul 2025, 15:13","","Squat (Barbell)",,"",2,"normal",100,7,,,
"Lower","14 Jul 2025, 13:31","14 Jul 2025, 15:13","","Good Morning (Barbell)",,"",0,"normal",50,12,,,
